incidentType,fipsStateCode,fipsCountyCode,combinedFIPS,State Code,year,Month,Precipitation,AverageTemp,Longitude,Latitude
Fire,35,33,35033,35,2023,5,1.19,56.8,-104.944561,36.00972846
Fire,35,47,35047,35,2023,5,1.19,57.4,-104.8156292,35.48004639
Fire,44,9,44009,44,2023,4,5.04,57.8,-71.62328128,41.46943509
Fire,31,25,31025,31,2023,4,6.22,59.6,-96.14069252,40.90976087
Fire,35,57,35057,35,2023,4,13.48,44.4,-105.8505392,34.64043207
Fire,40,147,40147,40,2023,3,4.77,50,-95.90449238,36.71527849
Fire,40,109,40109,40,2023,3,7,53.1,-97.4075036,35.55141319
Fire,40,83,40083,40,2023,3,5.05,50.6,-97.44308101,35.91913897
Fire,41,5,41005,41,2022,9,2.93,78,-122.2205544,45.18820387
Fire,16,13,16013,16,2022,9,1.83,75.7,-113.980642,43.41242641
Fire,16,3,16003,16,2022,8,6.41,81.9,-116.4539483,44.88931492
Fire,16,45,16045,16,2022,8,8.95,81.6,-116.3979457,44.0602805
Fire,16,85,16085,16,2022,8,5,82.8,-115.5662454,44.76650867
Fire,32,31,32031,32,2022,8,1.01,68.3,-119.6643222,40.66566815
Fire,41,65,41065,41,2022,8,2.14,79.4,-121.1678419,45.16003768
Fire,48,35,48035,48,2022,7,0.46,61.9,-97.63435711,31.90035901
Fire,4,5,4005,4,2022,6,0.47,71,-111.7705493,35.83875351
Fire,35,47,35047,35,2022,4,8.01,43,-104.8156292,35.48004639
Fire,35,47,35047,35,2022,4,8.01,43,-104.8156292,35.48004639
Fire,35,7,35007,35,2022,4,9.8,44.1,-104.6468731,36.60619925
Fire,35,7,35007,35,2022,4,9.8,44.1,-104.6468731,36.60619925
Fire,31,63,31063,31,2022,4,2.87,58.5,-100.3936643,40.53024724
Fire,31,65,31065,31,2022,4,2.61,60.1,-99.91249504,40.17646227
Fire,31,145,31145,31,2022,4,2.7,56.5,-100.477247,40.17604429
Fire,4,25,4025,4,2022,4,0,74.1,-112.5538467,34.59969928
Fire,4,5,4005,4,2022,4,3.74,54.1,-111.7705493,35.83875351
Fire,35,27,35027,35,2022,4,7.86,37.8,-105.4585461,33.74510826
Fire,35,27,35027,35,2022,4,7.86,37.8,-105.4585461,33.74510826
Fire,35,61,35061,35,2022,4,3.52,36.7,-106.8090108,34.71536166
Fire,35,61,35061,35,2022,4,3.52,36.7,-106.8090108,34.71536166
Fire,12,5,12005,12,2022,3,3.87,45.9,-85.62005473,30.26520819
Fire,12,13,12013,12,2022,3,4.58,44.9,-85.19679907,30.40604523
Fire,20,79,20079,20,2022,3,5.03,28.4,-97.42729333,38.04321442
Fire,20,155,20155,20,2022,3,3.18,36.1,-98.08586348,37.95303921
Fire,8,13,8013,8,2022,12,3.64,55,-105.3574574,40.09241482
Fire,8,13,8013,8,2022,12,3.64,55,-105.3574574,40.09241482
Fire,40,139,40139,40,2022,12,5.82,41.4,-101.4901113,36.74789073
Fire,46,103,46103,46,2022,10,2.64,49.9,-102.8239659,44.00397449
Fire,41,37,41037,41,2021,8,3.51,82.7,-120.3873864,42.79350818
Fire,16,69,16069,16,2021,8,3.6,82.7,-116.7498104,46.32729495
Fire,30,87,30087,30,2021,8,5.61,75,-106.7307531,46.22979285
Fire,30,87,30087,30,2021,8,5.61,75,-106.7307531,46.22979285
Fire,15,1,15001,15,2021,8,4.47,75.6,-155.5211676,19.60123507
Fire,30,3,30003,30,2021,7,8.29,67.9,-107.4892228,45.42332459
Fire,32,5,32005,32,2021,7,0.72,73.6,-119.6162086,38.91213378
Fire,30,111,30111,30,2021,7,8.91,69.8,-108.2742553,45.93715306
Fire,41,35,41035,41,2021,7,4.2,82,-121.6500072,42.68605026
Fire,41,37,41037,41,2021,7,3.89,81.5,-120.3873864,42.79350818
